  201   101
1.4612e+02 -1.8285e-02 -3.6312e-02
1.4281e+02 -1.2499e-02 -2.2117e-02
1.3506e+02 -2.8082e-02 -2.9250e-02
1.2819e+02 -3.8532e-02 -2.2232e-02
1.2395e+02 -3.5603e-02 -2.0493e-02
1.1794e+02 -4.7935e-02 -2.4914e-02
1.1149e+02 -3.5782e-02 -7.9225e-03
1.1398e+02 -3.5519e-02 -2.1727e-02
1.0062e+02 -2.8990e-02 -5.4483e-02
8.6740e+01 8.3122e-03 -4.8322e-02
7.6464e+01 3.3018e-02 -3.6166e-02
6.8657e+01 4.0402e-02 -1.8924e-02
6.7002e+01 -4.8986e-03 -1.9144e-02
5.9085e+01 -2.2420e-04 -2.5484e-02
5.4259e+01 -1.1805e-02 -3.3266e-02
4.2452e+01 -1.0314e-02 -2.1883e-02
4.3318e+01 -1.2947e-02 6.0798e-03
4.5492e+01 4.3439e-03 -8.9201e-03
3.8858e+01 1.1826e-02 -3.0562e-02
3.0211e+01 4.0511e-02 -5.0278e-02
1.3719e+01 6.3361e-02 -5.3411e-02
3.5052e+00 5.2590e-02 -4.2693e-02
-7.6273e+00 4.7085e-02 -3.1069e-02
-1.2029e+01 3.8292e-02 -2.1962e-02
-1.8608e+01 3.0873e-02 -2.9539e-02
-2.6799e+01 2.8878e-02 -4.1200e-02
-3.9208e+01 1.7041e-02 -3.0792e-02
-4.2195e+01 2.2813e-02 -2.4260e-02
-5.1338e+01 7.8683e-03 -3.5922e-02
-6.0156e+01 1.4829e-02 -1.9987e-02
-6.1332e+01 7.0873e-03 8.2075e-03
-5.6052e+01 1.3865e-02 -1.3032e-02
-6.7847e+01 -2.9569e-03 -5.7398e-02
-8.4751e+01 -3.1677e-03 -5.6140e-02
-9.5917e+01 -4.7087e-03 -7.6089e-02
-1.2280e+02 2.0578e-02 -1.2161e-01
-1.5672e+02 6.5910e-03 -1.4750e-01
-1.9655e+02 -8.5391e-04 -1.5093e-01
-2.3219e+02 -1.1303e-02 -1.5130e-01
-2.7220e+02 2.1461e-03 -1.5131e-01
-3.0785e+02 -9.6232e-03 -1.3452e-01
-3.3946e+02 -9.6459e-03 -1.2391e-01
-3.6980e+02 -1.0748e-02 -1.0661e-01
-3.9276e+02 -1.2601e-02 -1.0759e-01
-4.2359e+02 1.0596e-03 -1.0022e-01
-4.4287e+02 -1.3443e-02 -9.8442e-02
-4.7281e+02 -2.1393e-02 -9.1226e-02
-4.8849e+02 -1.8035e-02 -6.6777e-02
-5.0620e+02 7.5915e-03 -4.7099e-02
-5.1204e+02 8.7898e-03 -1.9098e-02
-5.1575e+02 -1.7761e-03 -1.8944e-02
-5.2151e+02 -1.6221e-02 2.8271e-03
-5.1434e+02 9.1034e-03 1.7323e-02
-5.1285e+02 2.4592e-02 -4.4385e-03
-5.1656e+02 1.8552e-02 -1.9720e-02
-5.2271e+02 7.7864e-03 -1.5622e-02
-5.2437e+02 2.2001e-02 1.5016e-02
-5.1520e+02 1.7311e-02 4.5053e-02
-5.0184e+02 2.9766e-03 1.7606e-02
-5.0640e+02 1.2663e-02 -5.4318e-04
-5.0211e+02 8.7491e-03 2.6608e-02
-4.9309e+02 1.8776e-02 7.8339e-03
-4.9820e+02 3.2180e-02 6.8293e-03
-4.8968e+02 8.7490e-03 2.3444e-02
-4.8648e+02 7.2372e-03 3.2381e-02
-4.7349e+02 -1.0987e-02 3.0021e-02
-4.7146e+02 -1.4292e-02 3.5604e-02
-4.5568e+02 -1.3798e-02 5.1212e-02
-4.4586e+02 -2.3363e-02 6.7043e-02
-4.2216e+02 -3.7349e-02 7.7336e-02
-4.0719e+02 -2.4439e-02 6.6501e-02
-3.8891e+02 1.7449e-02 6.0059e-02
-3.7716e+02 1.5251e-02 4.5547e-02
-3.6614e+02 2.9148e-02 4.8475e-02
-3.5292e+02 3.4317e-02 7.8133e-02
-3.2707e+02 2.9579e-02 1.0417e-01
-3.0084e+02 1.2513e-02 7.9991e-02
-2.8708e+02 1.8634e-03 4.2604e-02
-2.7954e+02 -1.3793e-02 5.6209e-02
-2.5897e+02 -2.9070e-02 5.5433e-02
-2.5182e+02 -5.9301e-02 1.3915e-02
-2.5202e+02 -6.0908e-02 1.7855e-02
-2.4289e+02 -9.5001e-02 4.5730e-02
-2.2915e+02 -1.0961e-01 5.8337e-02
-2.1372e+02 -1.1201e-01 7.5182e-02
-1.9156e+02 -7.9918e-02 8.5743e-02
-1.7085e+02 0.0000e+00 0.0000e+00
2.0154e+02 0.0000e+00 0.0000e+00
1.9491e+02 3.4822e-02 -1.5503e-02
1.9378e+02 1.8891e-02 -1.5642e-02
1.8708e+02 1.1831e-02 -3.2003e-04
1.9362e+02 5.5201e-03 1.5861e-03
1.8788e+02 2.1159e-02 -4.7818e-02
1.6971e+02 1.2511e-02 -4.8873e-02
1.6344e+02 8.4056e-03 2.1057e-03
1.7077e+02 -3.6302e-02 1.9687e-02
1.7328e+02 -6.3529e-02 1.1830e-02
1.7668e+02 -7.0870e-02 -1.6760e-02
1.6490e+02 -6.2787e-02 -3.7990e-02
1.5769e+02 -6.6767e-02 -3.1104e-02
1.4935e+02 -6.1785e-02 -3.4630e-02
1.4037e+02 -4.7992e-02 -2.5576e-02
1.3656e+02 -4.3753e-02 -2.5987e-02
1.2738e+02 -4.9266e-02 -2.9005e-02
1.2206e+02 -3.0129e-02 -1.5798e-02
1.1948e+02 -4.0473e-02 -3.1432e-02
1.0635e+02 -3.7663e-02 -3.2806e-02
1.0308e+02 -2.3055e-02 -1.6030e-02
9.8331e+01 -3.0851e-02 -2.8128e-02
8.9013e+01 -1.7070e-02 -2.4246e-02
8.6208e+01 1.4673e-03 -1.8837e-02
7.9594e+01 2.3131e-02 -2.6072e-02
7.3172e+01 5.7705e-03 -3.8596e-02
6.0297e+01 -2.3970e-02 -3.3527e-02
5.6409e+01 -6.2398e-03 -1.3293e-02
5.3650e+01 -6.7511e-03 -2.6397e-02
4.3210e+01 -7.3878e-03 -3.1079e-02
3.8110e+01 -3.5121e-02 -1.2742e-03
4.2573e+01 -3.5367e-02 2.3339e-03
3.9277e+01 -3.4494e-03 -8.1978e-03
3.8474e+01 2.1173e-02 -1.6338e-02
3.1108e+01 4.0465e-02 -3.4726e-02
2.1111e+01 4.3028e-02 -3.5522e-02
1.3348e+01 6.1191e-02 -3.6510e-02
2.8561e+00 5.7448e-02 -3.7393e-02
-5.3490e+00 5.5545e-02 -4.2367e-02
-1.8328e+01 6.6340e-02 -5.8220e-02
-3.4459e+01 4.3971e-02 -4.7563e-02
-4.2109e+01 2.4558e-02 -4.0782e-02
-5.4850e+01 4.7099e-03 -3.2283e-02
-5.8251e+01 1.4269e-03 -5.0273e-03
-5.7364e+01 1.1082e-02 2.3174e-03
-5.7092e+01 2.7095e-03 -2.6518e-02
-7.0623e+01 1.4475e-02 -5.5564e-02
-8.4874e+01 1.6351e-02 -5.7372e-02
-9.9309e+01 2.0589e-02 -5.6062e-02
-1.1290e+02 2.4134e-02 -1.1862e-01
-1.5862e+02 -8.4543e-03 -1.6816e-01
-1.9698e+02 -2.5120e-02 -1.4814e-01
-2.3269e+02 -1.6564e-02 -1.4917e-01
-2.7157e+02 -4.4271e-03 -1.5639e-01
-3.1089e+02 -7.0761e-03 -1.4103e-01
-3.4208e+02 -2.6516e-03 -1.3188e-01
-3.7683e+02 -1.0058e-02 -1.1972e-01
-4.0194e+02 -2.0540e-02 -8.7964e-02
-4.2081e+02 -2.1833e-02 -8.7217e-02
-4.4555e+02 -4.3751e-02 -1.0473e-01
-4.7317e+02 -3.2510e-02 -9.9338e-02
-4.9522e+02 -4.6569e-02 -8.0887e-02
-5.1361e+02 -2.8038e-02 -4.7112e-02
-5.1878e+02 -2.4883e-02 -1.1968e-02
-5.1960e+02 7.5648e-03 -6.8246e-03
-5.2219e+02 2.3555e-03 1.1681e-02
-5.1376e+02 -4.0768e-03 2.7957e-02
-5.0821e+02 -5.1934e-04 9.6793e-03
-5.0892e+02 1.1253e-02 -2.1847e-02
-5.1913e+02 1.3229e-02 -1.5107e-02
-5.1647e+02 1.3434e-02 1.2153e-02
-5.1306e+02 -7.7285e-03 1.7191e-02
-5.0788e+02 -1.9926e-02 2.4734e-02
-5.0069e+02 1.0642e-02 1.4636e-02
-5.0056e+02 3.2244e-02 2.3504e-02
-4.8894e+02 3.2060e-02 2.7159e-02
-4.8698e+02 5.9176e-02 6.4995e-03
-4.8569e+02 2.1494e-02 1.6175e-02
-4.7889e+02 1.8660e-02 2.5209e-02
-4.7308e+02 4.0872e-03 1.8343e-02
-4.6972e+02 1.0439e-03 3.2324e-02
-4.5692e+02 -7.9769e-03 4.8997e-02
-4.4522e+02 9.4577e-04 5.9406e-02
-4.2722e+02 -2.6191e-02 6.5855e-02
-4.1229e+02 -1.4694e-02 8.8710e-02
-3.8286e+02 -1.1744e-03 8.7682e-02
-3.6845e+02 1.1300e-02 5.3814e-02
-3.5596e+02 2.9059e-02 4.3418e-02
-3.4674e+02 2.9909e-02 6.5303e-02
-3.2330e+02 1.2776e-02 9.0771e-02
-3.0136e+02 -7.1923e-03 8.2614e-02
-2.8200e+02 -5.2993e-04 4.8461e-02
-2.7713e+02 2.0091e-02 3.5624e-02
-2.6419e+02 -1.5759e-02 2.0877e-02
-2.6669e+02 -3.0249e-02 -2.7098e-03
-2.6554e+02 -2.3477e-02 5.9786e-03
-2.6370e+02 -5.0912e-02 7.5929e-03
-2.6174e+02 -7.4096e-02 2.8996e-02
-2.4920e+02 -1.0695e-01 8.7262e-02
-2.1811e+02 -1.0394e-01 1.2377e-01
-1.8732e+02 0.0000e+00 0.0000e+00
2.1528e+02 0.0000e+00 0.0000e+00
2.0923e+02 3.6611e-02 -3.4415e-02
1.9807e+02 2.1068e-02 -4.2864e-02
1.8780e+02 2.2534e-02 -3.0690e-02
1.8273e+02 -4.1089e-03 2.8537e-04
1.8795e+02 -1.0498e-02 -1.6666e-02
1.7440e+02 -1.0095e-02 -4.1749e-02
1.6707e+02 -2.0672e-02 -3.9416e-02
1.5469e+02 -5.6808e-02 -3.8985e-02
1.4758e+02 -8.7795e-02 -1.8431e-02
1.4547e+02 -1.0371e-01 -8.1981e-03
1.4348e+02 -8.4198e-02 -1.6691e-02
1.3713e+02 -5.6145e-02 -2.6802e-02
1.3008e+02 -6.9445e-02 -3.0008e-02
1.2212e+02 -4.8656e-02 -1.8280e-02
1.2094e+02 -5.6713e-02 -2.3391e-02
1.1043e+02 -5.2056e-02 -1.5626e-02
1.1312e+02 -5.3842e-02 -1.3439e-02
1.0371e+02 -5.0348e-02 -2.8028e-02
9.9111e+01 -3.3707e-02 -7.4962e-03
9.9961e+01 -1.3813e-02 -1.1096e-03
9.8556e+01 -2.5982e-03 -1.5742e-02
9.2090e+01 1.5599e-02 -2.2165e-02
8.7473e+01 1.6918e-02 -8.1211e-03
8.8029e+01 9.3173e-03 -3.1863e-02
7.1542e+01 -1.4433e-02 -6.6025e-02
5.5017e+01 -1.0421e-02 -3.1154e-02
5.5965e+01 -3.4736e-03 -8.2659e-03
5.0884e+01 -1.1196e-02 -3.4414e-02
3.8758e+01 -1.9645e-02 -5.0252e-02
2.5758e+01 -2.7188e-02 -2.1900e-02
2.7808e+01 -3.3292e-02 2.2751e-02
3.7133e+01 -1.9488e-02 2.5979e-02
4.0798e+01 -1.5592e-02 -6.3636e-03
3.3951e+01 4.1660e-03 -3.1557e-02
2.5019e+01 1.9354e-02 -2.1967e-02
2.2968e+01 1.2704e-02 -1.6649e-02
1.6695e+01 2.2420e-02 -2.7608e-02
9.1640e+00 3.4479e-02 -2.0647e-02
6.3712e+00 5.4635e-02 -5.2774e-02
-1.7223e+01 3.9514e-02 -7.2574e-02
-2.9916e+01 1.9757e-02 -6.3521e-02
-4.8983e+01 2.7224e-02 -5.9053e-02
-5.9442e+01 2.8617e-02 -1.3615e-02
-5.5791e+01 2.5433e-02 9.4901e-03
-5.4697e+01 9.6553e-03 -9.6383e-03
-6.0610e+01 1.6976e-02 -4.3756e-02
-7.6575e+01 6.2875e-03 -5.0026e-02
-8.5623e+01 1.9024e-02 -6.8307e-02
-1.1073e+02 -5.7526e-03 -1.5066e-01
-1.6095e+02 -2.6576e-02 -1.9676e-01
-2.0911e+02 -3.5725e-02 -1.5904e-01
-2.4047e+02 -1.1410e-02 -1.3061e-01
-2.7441e+02 -1.2841e-02 -1.4182e-01
-3.1138e+02 -1.6696e-02 -1.3274e-01
-3.4078e+02 -5.9963e-03 -1.2689e-01
-3.7483e+02 -2.9995e-03 -1.2450e-01
-4.0303e+02 -1.9186e-02 -1.1936e-01
-4.3451e+02 -4.5577e-02 -1.2343e-01
-4.6475e+02 -5.6912e-02 -1.0912e-01
-4.8907e+02 -5.5987e-02 -9.4045e-02
-5.1177e+02 -4.3233e-02 -6.2305e-02
-5.2022e+02 -1.9343e-02 -2.5413e-02
-5.2448e+02 -1.5357e-02 1.6504e-02
-5.1197e+02 -1.4030e-03 8.2940e-03
-5.2033e+02 -8.3064e-03 -8.8145e-03
-5.1638e+02 -3.8172e-02 1.4448e-02
-5.1311e+02 -4.1047e-02 1.0891e-02
-5.1093e+02 -2.5531e-02 -5.9719e-03
-5.1609e+02 -1.4710e-02 -1.3441e-02
-5.1765e+02 -7.4548e-03 -5.9412e-03
-5.1906e+02 -1.1353e-02 1.1693e-02
-5.1181e+02 4.3206e-03 3.5977e-02
-5.0107e+02 1.4317e-02 5.1626e-02
-4.8599e+02 2.0450e-02 4.8026e-02
-4.7706e+02 2.9147e-02 3.4767e-02
-4.6861e+02 4.5991e-02 -3.7376e-03
-4.7893e+02 4.0618e-02 -1.7072e-02
-4.7715e+02 1.9759e-02 1.4974e-02
-4.7144e+02 8.7329e-03 1.2405e-02
-4.7094e+02 2.0377e-02 2.3540e-02
-4.5967e+02 -5.4115e-03 5.1114e-02
-4.4539e+02 4.2201e-04 4.8828e-02
-4.3526e+02 -5.5689e-03 6.1697e-02
-4.1454e+02 -1.9085e-03 9.1518e-02
-3.8950e+02 -2.7076e-02 8.6053e-02
-3.7151e+02 -1.1199e-02 7.5781e-02
-3.5161e+02 8.8376e-03 6.7084e-02
-3.3797e+02 1.8690e-02 6.1850e-02
-3.2068e+02 -2.5944e-04 6.7067e-02
-3.0444e+02 -1.7038e-02 6.6684e-02
-2.8734e+02 -2.8646e-02 6.9887e-02
-2.6949e+02 -4.6664e-03 4.0980e-02
-2.6685e+02 -1.2307e-02 5.0938e-03
-2.6694e+02 -1.5762e-02 6.1965e-03
-2.6375e+02 -1.3179e-02 -2.8081e-03
-2.6835e+02 -6.4354e-03 -4.8890e-03
-2.6620e+02 -2.2026e-02 2.2961e-03
-2.6720e+02 -4.8172e-02 4.5341e-02
-2.4353e+02 -7.5734e-02 1.2037e-01
-2.0702e+02 0.0000e+00 0.0000e+00
2.2447e+02 0.0000e+00 0.0000e+00
2.1321e+02 2.9123e-02 -4.0299e-02
2.0432e+02 6.4013e-02 -2.9720e-02
1.9835e+02 6.6592e-02 -2.5497e-02
1.9157e+02 6.8465e-02 -3.1446e-02
1.8263e+02 4.8024e-03 -5.3804e-02
1.6467e+02 -1.0224e-02 -5.9047e-02
1.5310e+02 -3.0709e-02 -4.4608e-02
1.4236e+02 -3.6868e-02 -4.7436e-02
1.2939e+02 -3.2962e-02 -3.5069e-02
1.2483e+02 -5.3316e-02 -1.3163e-02
1.2281e+02 -7.3421e-02 9.5730e-03
1.2962e+02 -6.5057e-02 -1.6350e-02
1.1463e+02 -3.3962e-02 -2.7141e-02
1.1604e+02 -1.7796e-02 -1.2844e-02
1.0821e+02 -2.8690e-02 -2.9388e-02
1.0135e+02 -2.6496e-02 -2.6133e-02
9.5141e+01 -6.6824e-02 -1.4090e-02
9.4306e+01 -6.6980e-02 -1.1298e-02
8.9493e+01 -4.3963e-02 3.7293e-03
9.6171e+01 -3.4707e-02 1.5079e-02
9.7032e+01 -1.6774e-02 1.2837e-03
9.6812e+01 1.1366e-03 -4.7298e-03
9.4667e+01 -7.4782e-03 -2.5119e-02
8.4253e+01 -2.5474e-02 -5.7423e-02
6.5956e+01 -2.6774e-02 -5.8334e-02
5.5086e+01 -1.2028e-03 -2.2568e-02
5.4672e+01 -2.8330e-02 -1.4068e-02
4.8052e+01 -1.8244e-02 -4.2568e-02
3.3388e+01 -6.3320e-03 -4.7071e-02
2.4516e+01 -1.5265e-03 -1.4922e-02
2.5927e+01 3.4563e-03 1.0034e-02
2.9533e+01 -1.6318e-02 9.5029e-03
3.0679e+01 -2.5537e-02 7.3167e-03
3.3191e+01 2.6817e-04 2.1989e-04
3.0789e+01 1.3870e-02 -2.6984e-02
1.9700e+01 1.0161e-02 -3.3445e-02
1.4066e+01 1.9399e-02 -1.5618e-02
1.1890e+01 2.3920e-02 -1.0152e-02
8.9900e+00 -1.0394e-02 -5.3185e-02
-1.4702e+01 4.2526e-03 -8.2441e-02
-3.2230e+01 8.5113e-03 -5.3072e-02
-4.1238e+01 2.4644e-02 -2.3424e-02
-4.3942e+01 4.2562e-02 -6.8187e-03
-4.4647e+01 4.3663e-02 -1.6644e-02
-5.2264e+01 2.2744e-02 -3.4975e-02
-6.2135e+01 -3.3113e-03 -5.8932e-02
-8.1730e+01 -2.8054e-02 -5.5323e-02
-8.9797e+01 -5.1139e-02 -6.8102e-02
-1.1578e+02 -6.4230e-02 -1.6422e-01
-1.7191e+02 -4.5682e-02 -1.9813e-01
-2.1485e+02 -2.2585e-02 -1.3297e-01
-2.3839e+02 8.5670e-04 -1.2628e-01
-2.7799e+02 -2.2870e-03 -1.6168e-01
-3.1923e+02 -6.4844e-03 -1.3419e-01
-3.4508e+02 -2.0712e-02 -1.1818e-01
-3.7833e+02 -1.4490e-02 -1.3291e-01
-4.1153e+02 -3.0118e-02 -1.3054e-01
-4.4360e+02 -2.7164e-02 -1.2494e-01
-4.7401e+02 -2.6443e-02 -1.1514e-01
-5.0116e+02 -3.2304e-02 -8.5660e-02
-5.1684e+02 3.5291e-03 -4.4243e-02
-5.2329e+02 -7.8844e-04 -1.9236e-02
-5.2645e+02 -2.3404e-02 5.9721e-03
-5.2030e+02 -3.9904e-02 2.2618e-04
-5.2634e+02 -2.1588e-02 -2.5088e-02
-5.3284e+02 -3.0141e-02 -4.7841e-03
-5.2873e+02 -3.9398e-02 2.2320e-02
-5.2168e+02 -4.7756e-02 4.4905e-03
-5.2649e+02 -4.4102e-02 2.9695e-03
-5.2020e+02 -2.0664e-02 1.5511e-02
-5.1873e+02 -2.1494e-02 2.8966e-02
-5.0572e+02 -1.0975e-02 5.0404e-02
-4.9353e+02 -1.8384e-03 3.0766e-02
-4.9033e+02 -7.1635e-03 3.8334e-02
-4.7436e+02 2.7501e-02 5.2700e-02
-4.6398e+02 2.8881e-02 1.7971e-02
-4.6538e+02 4.2352e-02 -1.0057e-02
-4.6901e+02 3.5099e-02 -6.6761e-03
-4.6872e+02 2.4003e-02 1.8961e-02
-4.5953e+02 3.3427e-02 1.8179e-02
-4.5963e+02 9.7197e-03 2.9042e-02
-4.4501e+02 1.9561e-02 5.9248e-02
-4.3000e+02 2.3238e-02 6.3524e-02
-4.1325e+02 4.0428e-03 6.7203e-02
-3.9640e+02 -1.7924e-02 7.8392e-02
-3.7405e+02 -1.2739e-02 8.9728e-02
-3.5154e+02 -1.5716e-02 7.3307e-02
-3.3740e+02 -2.7966e-02 5.6206e-02
-3.2343e+02 -4.1678e-02 5.5044e-02
-3.0988e+02 -4.6305e-02 5.4227e-02
-2.9632e+02 -4.6946e-02 6.0832e-02
-2.7946e+02 -4.3689e-02 5.1963e-02
-2.7034e+02 -4.0373e-02 9.7809e-03
-2.7457e+02 -2.9399e-02 -3.5817e-03
-2.7213e+02 -4.3718e-02 1.5305e-02
-2.6692e+02 -3.2752e-02 -1.2538e-03
-2.7276e+02 -2.9831e-02 -1.2740e-02
-2.7329e+02 -1.6383e-02 3.3553e-02
-2.5598e+02 -4.9819e-02 6.3492e-02
-2.4154e+02 0.0000e+00 0.0000e+00
2.2266e+02 0.0000e+00 0.0000e+00
2.2380e+02 3.6031e-02 1.4852e-02
2.3008e+02 7.1676e-02 -5.3959e-03
2.2110e+02 8.0017e-02 -2.6238e-02
2.1696e+02 6.3952e-02 -6.1504e-02
1.9035e+02 3.4254e-02 -9.5355e-02
1.6928e+02 2.0941e-02 -7.7260e-02
1.5172e+02 -2.2933e-03 -6.6059e-02
1.3626e+02 -1.4442e-02 -4.1238e-02
1.3110e+02 2.0792e-03 -3.4880e-02
1.1882e+02 -1.2278e-02 -4.8657e-02
1.0677e+02 -5.1985e-02 -2.8433e-02
1.0460e+02 -5.3840e-02 1.2656e-02
1.1310e+02 2.0880e-03 1.7253e-02
1.1323e+02 -1.0823e-03 -1.3008e-02
1.0659e+02 -1.7789e-02 -3.2090e-02
9.7181e+01 -3.1501e-02 -5.3760e-02
7.9713e+01 -5.6619e-02 -5.3924e-02
7.0219e+01 -5.9445e-02 -5.1677e-03
7.7129e+01 -6.7258e-02 2.4777e-02
8.2607e+01 -7.8517e-02 2.6080e-02
9.0169e+01 -5.6185e-02 2.0101e-02
9.2658e+01 -4.7457e-02 -1.2869e-02
8.3734e+01 -3.4795e-02 -3.4732e-02
7.5292e+01 -3.8295e-02 -5.1159e-02
5.8155e+01 -1.4721e-02 -4.1753e-02
5.4415e+01 -3.3768e-03 -3.2710e-02
4.1800e+01 -1.4903e-02 -2.5307e-02
4.1762e+01 -1.9865e-02 -1.2415e-02
3.5592e+01 3.1308e-03 -3.3534e-02
2.4995e+01 1.4120e-02 -1.2112e-02
2.9536e+01 -1.4787e-03 7.9594e-03
2.8974e+01 8.7675e-03 -3.0138e-03
2.8029e+01 1.9479e-02 1.0223e-02
3.4086e+01 1.8227e-02 7.8500e-03
3.1954e+01 2.5344e-02 -1.2075e-02
2.8048e+01 4.3769e-02 -1.1120e-02
2.6394e+01 5.2466e-02 -1.3849e-02
2.1124e+01 1.9897e-02 -5.0440e-02
1.1741e+00 -5.8026e-03 -7.2441e-02
